,LSD,Psilocybin,DMT,Mescaline,DOx,NBOMes,2C-x,2C-T-x,5-MeO-xxT,Cannabis,Ketamine,MXE,DXM,Nitrous ,Amphetamines,MDMA,Cocaine,Caffeine,Alcohol,GHB/GBL,Opiods,Tramadol,Benzodiazepine,MAOIs,SSRIs,Salvia divonorum,Acacia species,Mimosa tenuiflora,Panaelous cyanescens,Argyreia nervosa,Ipomea violacea,Rivea corymbosa,Amanita muscaria,Trichocereus species,Lophpopra willamsii,Incillius alvarius,Mitragyna speciosa,Papaver somnifarem,Banisteriopsis caapi,Piper methysticum,Catha edulis,Ephedra sinica,Eroxythylum coca,Phyllomedusa bicolor,Tabernathe iboga
LSD,LSD,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRS,MR,LRS,LRS,LRS,LRS,MR,LRS,MR,LRNS,LRD,LRD,LRNS,GR,LRD,LRD,LRD,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRNS,LRS,LRS,LRS,LRNS,LRNS,LRD,LRD,MR,MR,MR,LRNS,MR
Psilocybin,LRS,Psilocybin,LRS,LRS,LRS,LRS,LRS,LRS,LRS,MR,LRS,LRS,LRS,LRS,MR,LRS,MR,LRNS,LRD,LRD,LRNS,GR,LRD,LRS,LRD,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRNS,LRS,LRS,LRS,LRNS,LRNS,LRS,LRS,MR,MR,MR,LRNS,MR
DMT,LRS,LRS,DMT,LRS,LRS,LRS,LRS,LRS,LRS,MR,LRS,LRS,LRS,LRS,MR,LRS,MR,LRNS,LRD,LRD,LRNS,GR,LRD,LRS,LRD,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRNS,LRS,LRS,LRS,LRNS,LRNS,LRS,LRS,MR,MR,MR,LRNS,MR
Mescaline,LRS,LRS,LRS,Mescaline,MR,MR,MR,MR,MR,MR,LRS,LRS,LRS,LRS,MR,LRS,MR,LRNS,LRD,LRD,LRNS,GR,LRD,MR,LRD,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRNS,LRS,LRS,MR,LRNS,LRNS,MR,MR,MR,MR,MR,LRNS,MR
DOx,LRS,LRS,LRS,MR,DOx,MR,MR,MR,MR,MR,LRS,LRS,GR,LRS,GR,MR,GR,MR,LRD,LRD,LRNS,GR,LRD,MR,LRD,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRNS,MR,MR,MR,LRNS,LRNS,MR,MR,GR,GR,GR,LRNS,MR
NBOMes,LRS,LRS,LRS,MR,MR,NBOMes,MR,MR,MR,MR,LRS,LRS,GR,LRS,GR,MR,GR,MR,LRD,LRD,LRNS,GR,LRD,MR,LRD,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRNS,MR,MR,MR,LRNS,LRNS,MR,MR,GR,GR,GR,LRNS,MR
2C-x,LRS,LRS,LRS,MR,MR,MR,2C-x,MR,MR,MR,LRS,LRS,LRS,LRS,MR,LRS,MR,LRNS,LRD,LRD,LRNS,GR,LRD,MR,LRD,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRNS,MR,MR,MR,LRNS,LRNS,MR,MR,MR,MR,MR,LRNS,MR
2C-T-x,LRS,LRS,LRS,MR,MR,MR,MR,2C-T-x,MR,MR,LRS,MR,GR,LRS,GR,MR,GR,LRNS,LRD,LRD,LRNS,GR,LRD,MR,LRD,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRNS,MR,MR,MR,LRNS,LRNS,MR,MR,GR,GR,GR,LRNS,MR
5-MeO-xxT,LRS,LRS,LRS,MR,MR,MR,MR,MR,5-MeO-xxT,MR,LRS,LRS,GR,LRS,GR,MR,GR,LRNS,LRD,LRD,LRNS,GR,LRD,SR,LRD,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRNS,MR,MR,LRS,LRNS,LRNS,SR,SR,GR,GR,GR,LRNS,GR
Cannabis,MR,MR,MR,MR,MR,MR,MR,MR,MR,Cannabis,LRS,LRS,LRS,LRS,MR,LRS,MR,LRNS,LRS,LRS,LRS,LRS,LRD,LRS,LRNS,MR,MR,MR,MR,MR,MR,MR,LRS,MR,MR,MR,LRS,LRS,LRS,LRS,MR,MR,MR,LRS,MR
Ketamine,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRS,Ketamine,LRS,LRNS,LRS,MR,LRS,MR,LRNS,SR,SR,SR,SR,MR,MR,LRNS,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRNS,LRS,LRS,LRS,SR,SR,MR,MR,MR,MR,MR,SR,MR
MXE,LRS,LRS,LRS,LRS,LRS,LRS,MR,LRS,LRS,LRS,LRS,MXE,LRNS,LRS,MR,MR,MR,LRNS,SR,SR,SR,SR,MR,GR,MR,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRNS,LRS,LRS,LRS,SR,SR,GR,GR,MR,MR,MR,SR,MR
DXM,LRS,LRS,LRS,LRS,GR,GR,LRS,GR,GR,LRS,LRNS,LRNS,DXM,LRS,GR,SR,GR,LRNS,SR,SR,SR,SR,MR,SR,SR,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRNS,LRS,LRS,GR,SR,SR,SR,SR,GR,GR,GR,SR,MR
Nitrous ,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRS,Nitrous ,LRS,LRS,LRS,LRNS,MR,MR,MR,MR,LRD,LRNS,LRNS,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRNS,LRS,LRS,LRS,MR,MR,LRNS,LRNS,LRS,LRS,LRS,MR,MR
Amphetamines,MR,MR,MR,MR,GR,GR,MR,GR,GR,MR,MR,MR,GR,LRS,Amphetamines,LRS,MR,MR,MR,MR,MR,SR,LRD,SR,LRNS,MR,MR,MR,MR,MR,MR,MR,LRD,MR,MR,GR,MR,MR,SR,SR,MR,LRS,MR,MR,MR
MDMA,LRS,LRS,LRS,LRS,MR,MR,LRS,MR,MR,LES,LES,MR,SR,LRS,LRS,MDMA,MR,MR,MR,MR,LRNS,SR,LRD,SR,LRD,LRS,LRS,LRS,LRS,LRS,LRS,LRS,LRD,LRS,LRS,MR,LRNS,LRNS,SR,SR,LRS,LRS,MR,LRNS,GR
Cocaine,MR,MR,MR,MR,GR,GR,MR,GR,GR,MR,MR,MR,GR,LRS,MR,MR,Cocaine,MR,GR,MR,SR,SR,LRD,SR,LRNS,MR,MR,MR,MR,MR,MR,MR,LRD,MR,MR,GR,SR,SR,SR,SR,MR,MR,LRS,SR,MR
Caffeine,LRNS,LRNS,LRNS,LRNS,MR,MR,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,MR,MR,MR,Caffeine,LRNS,LRNS,LRNS,LRNS,LRD,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRD,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,LRNS,MR,MR,MR,LRNS,MR
Alcohol,LRD,LRD,LRD,LRD,LRD,LRD,LRD,LRD,LRD,LRS,SR,SR,SR,MR,MR,MR,GR,LRNS,Alcohol,SR,SR,SR,SR,GR,MR,MR,LRD,LRD,LRD,LRD,LRD,LRD,MR,LRD,LRD,LRD,SR,SR,GR,GR,MR,MR,GR,SR,MR
GHB/GBL,LRD,LRD,LRD,LRD,LRD,LRD,LRD,LRD,LRD,LRS,SR,SR,SR,MR,MR,MR,MR,LRNS,SR,GHB/GBL,SR,SR,SR,LRS,LRNS,MR,LRD,LRD,LRD,LRD,LRD,LRD,MR,LRD,LRD,LRD,SR,SR,LRS,LRS,MR,MR,MR,SR,MR
