,LSD,Psilocybin,DMT,Mescaline,DOx,NBOMes,2C-x,2C-T-x,5-MeO-xxT,Cannabis,Ketamine,MXE,DXM,Nitrous ,Amphetamines,MDMA,Cocaine,Caffeine,Alcohol,GHB/GBL,Opiods,Tramadol,Benzodiazepine,MAOIs,SSRIs,Salvia divonorum,Acacia species,Mimosa tenuiflora,Panaelous cyanescens,Argyreia nervosa,Ipomea violacea,Rivea corymbosa,Amanita muscaria,Trichocereus species,Lophpopra willamsii,Incillius alvarius,Mitragyna speciosa,Papaver somnifarem,Banisteriopsis caapi,Piper methysticum,Catha edulis,Ephedra sinica,Eroxythylum coca,Phyllomedusa bicolor,Tabernathe iboga
LSD,LSD,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Medium confidence,Low confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence
Psilocybin,Medium confidence,Psilocybin,Medium confidence,Medium confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,,Medium confidence,Low confidence,Low confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Medium confidence,Low confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence
DMT,Medium confidence,Medium confidence,DMT,Medium confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,,Medium confidence,Low confidence,Low confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Medium confidence,Low confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence
Mescaline,Medium confidence,Medium confidence,Medium confidence,Mescaline,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,,Medium confidence,,Low confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Medium confidence,Low confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,,Medium confidence,Medium confidence,Low confidence,Low confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence
DOx,Low confidence,Low confidence,Low confidence,Low confidence,DOx,Low confidence,Low confidence,Low confidence,Low confidence,,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
NBOMes,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,NBOMes,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
2C-x,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,2C-x,Low confidence,Low confidence,Medium confidence,Medium confidence,,Low confidence,Medium confidence,Medium confidence,Medium confidence,,Medium confidence,Medium confidence,,Medium confidence,,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
2C-T-x,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,2C-T-x,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
5-MeO-xxT,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,5-MeO-xxT,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
Cannabis,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,Cannabis,High confidence,Low confidence,Medium confidence,High confidence,High confidence,Medium confidence,Medium confidence,High confidence,High confidence,Medium confidence,High confidence,High confidence,High confidence,High confidence,High confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence
Ketamine,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,Medium confidence,Ketamine,Low confidence,Medium confidence,High confidence,High confidence,Medium confidence,Medium confidence,High confidence,High confidence,Medium confidence,High confidence,High confidence,High confidence,High confidence,High confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
MXE,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,MXE,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
DXM,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Medium confidence,Medium confidence,Low confidence,DXM,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
Nitrous ,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,High confidence,High confidence,Low confidence,Medium confidence,Nitrous ,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
Amphetamines,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,High confidence,High confidence,Low confidence,Medium confidence,Medium confidence,Amphetamines,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
MDMA,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Medium confidence,Low confidence,Low confidence,Medium confidence,Medium confidence,Low confidence,Medium confidence,Medium confidence,Medium confidence,MDMA,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
Cocaine,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Medium confidence,Medium confidence,Low confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Cocaine,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Medium confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence,Low confidence
