	Insulin	Metformin	Antibiotics	Proton pump inhibitors	Ibuprofen	Paracetemol	Beta blockers	ACE inhibitors / ARBs 	Statins	Meditation	Salvinorin A	Salvia divinorum	DMT	Acacia species	LSD	Ergine	Argyreia nervosa	Diplopterys cabrerana	Psilocybin	Psilocin	Gymnopilus species	Ipomoea violacea	2C-T-x	2C-x	Mescaline	Lophophora williamsii	Mimosa species	Panaeolus species	Psilocybe species	Psychotria species	Turbina corymbosa	Virola species	Trichocereus species	DOx	DOI	25I-NBOMe	NBOMes	Benzodiazipines	Alprazolam	Diazepam	GBL	GHB	Alcohol	Amanita muscaria	Bufotenine	Anadenanthera species	5-MeO-xxT	5-MeO-DMT	Incillius alvarius	Phalaris species	Phyllomedusa bicolor	Tramadol	Mitragynine	Mitragyna speciosa	Opioids	Codeine	Heroin	Papaver species	Nitrous oxide	MXE	DXM	Ketamine	Cannabis species	Arecoline	Areca catechu	Caffeine	Camellia sinensis	Coffea species	Cola species	Duboisia hopwoodii	Ilex paraguariensis	Nicotine	Nicotiana species	Mesembrine	Sceletium species	Eugenol	Piper betle	MDMA	MDA	Safrole	Sassafras species	Myristicin	Myristica species	SSRIs	MAOIs	Harmalas	Harmaline	Harmine	Banisteriopsis caapi	Peganum harmala	Passiflora species	Kavalactones	Piper methysticum	Methcathinone	Mephedrone	Cathinones	Catha edulis	Methamphetamine	Amphetamines	Ephedrine	Ephedra species	Cocaine	Erythroxylum species	Levodopa	Mucuna pruriens	Ibogaine	Tabernanthe iboga	Tropanes	Hyoscyamine	Scopolamine	Brugmansia species	Datura species	
Insulin	Insulin	HC	HC	HC	HC	HC	HC	HC	HC	HC	LC	MC	MC	LC	MC	MC	MC	LC	HC	HC	LC	MC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	LC	LC	MC	LC	HC	HC	HC	MC	MC	HC	LC	LC	LC	LC	MC	LC	LC	LC	HC	LC	MC	HC	HC	HC	MC	HC	MC	MC	HC	HC	HC	HC	HC	HC	HC	HC	LC	HC	HC	HC	LC	LC	LC	HC	MC	MC	LC	LC	LC	LC	HC	HC	MC	MC	MC	MC	MC	LC	MC	HC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	HC	LC	MC	MC	LC	MC	MC	MC	MC	Insulin
Metformin		Metformin	HC	HC	HC	HC	HC	HC	HC	HC	LC	MC	MC	LC	MC	MC	MC	LC	HC	HC	LC	MC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	LC	LC	MC	LC	HC	HC	HC	MC	MC	HC	LC	LC	LC	LC	MC	LC	LC	LC	HC	LC	MC	HC	HC	HC	MC	HC	MC	MC	HC	HC	HC	HC	HC	HC	HC	HC	LC	HC	HC	HC	LC	LC	LC	HC	MC	MC	LC	LC	LC	LC	HC	HC	MC	MC	MC	MC	MC	LC	MC	HC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	HC	LC	MC	MC	LC	MC	MC	MC	MC	Metformin
Antibiotics			Antibiotics	HC	HC	HC	HC	HC	HC	HC	LC	MC	MC	LC	MC	MC	MC	LC	HC	HC	LC	MC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	LC	LC	MC	LC	HC	HC	HC	MC	MC	HC	LC	LC	LC	LC	MC	LC	LC	LC	HC	LC	MC	HC	HC	HC	MC	HC	MC	MC	HC	HC	HC	HC	HC	HC	HC	HC	LC	HC	HC	HC	LC	LC	LC	HC	MC	MC	LC	LC	LC	LC	HC	HC	MC	MC	MC	MC	MC	LC	MC	HC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	HC	LC	MC	MC	LC	MC	MC	MC	MC	Antibiotics
Proton pump inhibitors				Proton pump inhibitors	HC	HC	HC	HC	HC	HC	LC	MC	MC	LC	MC	MC	MC	LC	HC	HC	LC	MC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	LC	LC	MC	LC	HC	HC	HC	MC	MC	HC	LC	LC	LC	LC	MC	LC	LC	LC	HC	LC	MC	HC	HC	HC	MC	HC	MC	MC	HC	HC	HC	HC	HC	HC	HC	HC	LC	HC	HC	HC	LC	LC	LC	HC	MC	MC	LC	LC	LC	LC	HC	HC	MC	MC	MC	MC	MC	LC	MC	HC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	HC	LC	MC	MC	LC	MC	MC	MC	MC	Proton pump inhibitors
Ibuprofen					Ibuprofen	HC	HC	HC	HC	HC	LC	MC	MC	LC	MC	MC	MC	LC	HC	HC	LC	MC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	LC	LC	MC	LC	HC	HC	HC	MC	MC	HC	LC	LC	LC	LC	MC	LC	LC	LC	HC	LC	MC	HC	HC	HC	MC	HC	MC	MC	HC	HC	HC	HC	HC	HC	HC	HC	LC	HC	HC	HC	LC	LC	LC	HC	MC	MC	LC	LC	LC	LC	HC	HC	MC	MC	MC	MC	MC	LC	MC	HC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	HC	LC	MC	MC	LC	MC	MC	MC	MC	Ibuprofen
Paracetemol						Paracetemol	HC	HC	HC	HC	LC	MC	MC	LC	MC	MC	MC	LC	HC	HC	LC	MC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	LC	LC	MC	LC	HC	HC	HC	MC	MC	HC	LC	LC	LC	LC	MC	LC	LC	LC	HC	LC	MC	HC	HC	HC	MC	HC	MC	MC	HC	HC	HC	HC	HC	HC	HC	HC	LC	HC	HC	HC	LC	LC	LC	HC	MC	MC	LC	LC	LC	LC	HC	HC	MC	MC	MC	MC	MC	LC	MC	HC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	HC	LC	MC	MC	LC	MC	MC	MC	MC	Paracetemol
Beta blockers							Beta blockers	HC	HC	HC	LC	MC	MC	LC	MC	MC	MC	LC	HC	HC	LC	MC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	LC	LC	MC	LC	HC	HC	HC	MC	MC	HC	LC	LC	LC	LC	MC	LC	LC	LC	HC	LC	MC	HC	HC	HC	MC	HC	MC	MC	HC	HC	HC	HC	HC	HC	HC	HC	LC	HC	HC	HC	LC	LC	LC	HC	MC	MC	LC	LC	LC	LC	HC	HC	MC	MC	MC	MC	MC	LC	MC	HC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	HC	LC	MC	MC	LC	MC	MC	MC	MC	Beta blockers
ACE Inhibitors / ARBs								ACE Inhibitors / ARBs 	HC	HC	LC	MC	MC	LC	MC	MC	MC	LC	HC	HC	LC	MC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	LC	LC	MC	LC	HC	HC	HC	MC	MC	HC	LC	LC	LC	LC	MC	LC	LC	LC	HC	LC	MC	HC	HC	HC	MC	HC	MC	MC	HC	HC	HC	HC	HC	HC	HC	HC	LC	HC	HC	HC	LC	LC	LC	HC	MC	MC	LC	LC	LC	LC	HC	HC	MC	MC	MC	MC	MC	LC	MC	HC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	HC	LC	MC	MC	LC	MC	MC	MC	MC	ACE Inhibitors / ARBs
Statins									Statins	HC	LC	MC	MC	LC	MC	MC	MC	LC	HC	HC	LC	MC	LC	LC	MC	MC	MC	MC	MC	MC	MC	LC	MC	LC	LC	MC	LC	HC	HC	HC	MC	MC	HC	LC	LC	LC	LC	MC	LC	LC	LC	HC	LC	MC	HC	HC	HC	MC	HC	MC	MC	HC	HC	HC	HC	HC	HC	HC	HC	LC	HC	HC	HC	LC	LC	LC	HC	MC	MC	LC	LC	LC	LC	HC	HC	MC	MC	MC	MC	MC	LC	MC	HC	MC	MC	LC	MC	MC	MC	MC	MC	MC	MC	HC	LC	MC	MC	LC	MC	MC	MC	MC	Statins
