	Insulin	Metformin	Antibiotics	Proton pump inhibitors	Ibuprofen	Paracetemol	Beta blockers	ACE inhibitors / ARBs 	Statins	Meditation	Salvinorin A	Salvia divinorum	DMT	Acacia species	LSD	Ergine	Argyreia nervosa	Diplopterys cabrerana	Psilocybin	Psilocin	Gymnopilus species	Ipomoea violacea	2C-T-x	2C-x	Mescaline	Lophophora williamsii	Mimosa species	Panaeolus species	Psilocybe species	Psychotria species	Turbina corymbosa	Virola species	Trichocereus species	DOx	DOI	25I-NBOMe	NBOMes	Benzodiazipines	Alprazolam	Diazepam	GBL	GHB	Alcohol	Amanita muscaria	Anadenanthera species	5-MeO-xxT	5-MeO-DMT	Incillius alvarius	Phalaris species	Phyllomedusa bicolor	Tramadol	Mitragynine	Mitragyna speciosa	Opioids	Codeine	Heroin	Papaver species	Nitrous oxide	MXE	DXM	Ketamine	Cannabis species	Arecoline	Areca catechu	Caffeine	Camellia sinensis	Coffea species	Cola species	Duboisia hopwoodii	Ilex paraguariensis	Nicotine	Nicotiana species	Mesembrine	Sceletium species	Eugenol	Piper betle	MDMA	MDA	Safrole	Sassafras species	Myristicin	Myristica species	SSRIs	MAOIs	Harmalas	Harmaline	Harmine	Banisteriopsis caapi	Peganum harmala	Passiflora species	Kavalactones	Piper methysticum	Methcathinone	Mephedrone	Cathinones	Catha edulis	Methamphetamine	Amphetamines	Ephedrine	Ephedra species	Cocaine	Erythroxylum species	Levodopa	Mucuna pruriens	Ibogaine	Tabernanthe iboga	Tropanes	Hyoscyamine	Scopolamine	Brugmansia species	Datura species
Insulin	Insulin	MR	MR	LRNS	MR	LRNS	GR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	MR	MR	GR	MR	LRNS	LRNS	LRNS	LRNS	LRNS	MR	MR	MR	MR	MR	MR	MR	MR	LRNS	LRNS	LRNS	LRNS	LRNS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	GR	MR	MR	MR	MR	LRNS	SR	SR	SR	SR	SR	SR	SR	GR	GR	MR	MR	MR	MR	MR	MR	MR	MR	GR	GR	MR	MR	SR	SR	GR	GR	GR	GR	GR
Metformin	MR	Metformin	GR	MR	GR	LRNS	LRNS	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	MR	MR	MR	MR	MR	MR	MR	MR	MR	LRNS	LRNS	LRNS	LRNS	MR	MR	LRNS	LRNS	LRNS	LRNS	MR	LRNS	LRNS	LRNS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	LRNS	GR	GR	GR	GR	GR	GR	GR	GR	GR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	SR	SR	GR	GR	GR	GR	GR
Antibiotics	MR	GR	Antibiotics	MR	MR	LRNS	MR	MR	SR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	MR	MR	MR	MR	MR	GR	MR	LRNS	LRNS	LRNS	LRNS	LRNS	MR	MR	MR	MR	MR	LRNS	LRNS	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	MR	MR	MR	MR	LRNS	MR	LRNS	LRNS	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	SR	SR	SR	SR	SR	SR	SR	SR	SR	SR	MR	MR	MR	MR	MR	MR	MR	MR	GR	GR	MR	MR	GR	GR	GR	GR	GR	GR	GR
Proton pump inhibitors	LRNS	MR	MR	Proton pump inhibitors	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	MR	LRNS	MR	LRNS	LRNS	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	MR	LRNS	MR	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	GR	GR	GR	GR	GR
Ibuprofen	MR	GR	MR	LRNS	Ibuprofen	LRS	LRNS	GR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	MR	MR	MR	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	GR	MR	MR	MR	MR	MR	MR	MR	MR	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	MR	MR	LRNS	LRNS	MR	MR	GR	GR	GR	GR	GR
Paracetemol	LRNS	LRNS	LRNS	LRNS	LRS	Paracetemol	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	MR	MR	MR	MR	MR	MR	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	GR	GR	GR	GR	GR
Beta blockers	GR	LRNS	MR	LRNS	LRNS	LRNS	Beta blockers	GR	LRNS	LRS	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	GR	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRS	LRS	LRS	MR	MR	MR	MR	LRD	LRD	LRD	LRD	LRD	MR	GR	MR	MR	MR	MR	MR	MR	MR	GR	GR	GR	LRNS	MR	MR	LRD	LRD	LRD	LRD	LRD	LRD	LRD	LRD	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	LRNS	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR
ACE Inhibitors / ARBs	LRNS	MR	MR	LRNS	GR	LRNS	GR	ACE Inhibitors / ARBs 	LRS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	MR	MR	MR	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	MR	MR	MR	MR	MR	MR	MR	MR	GR	GR	GR	GR	LRNS	LRNS	LRNS	LRNS	LRNS	MR	GR	MR	MR	MR	MR	MR	MR	LRNS	MR	MR	MR	LRNS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	GR	GR	GR	GR	GR	GR	GR	MR	MR	LRNS	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR
Statins	LRNS	LRNS	SR	LRNS	LRNS	LRNS	LRNS	LRS	Statins	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	MR	MR	MR	MR	LRNS	LRNS	LRNS	MR	MR	MR	MR	LRNS	LRNS	LRNS	LRNS	LRNS	MR	GR	MR	MR	MR	MR	MR	MR	LRNS	MR	MR	MR	LRNS	MR	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	MR	MR	MR	MR	GR	GR	GR	GR	MR	MR	LRNS	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR	GR
Meditation	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRNS	LRNS	Meditation	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	GR	GR	GR	GR	GR
Salvinorin A	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRD	LRNS	LRNS	LRS	Salvinorin A	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRD	LRD	LRD	LRD	LRD	LRD	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	MR	MR	MR	MR	LRNS	LRNS	LRD	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	LRS	LRS	GR	GR	GR	GR	GR
Salvia divinorum	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRD	LRNS	LRNS	LRS	LRS	Salvia divinorum	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRD	LRD	LRD	LRD	LRD	LRD	LRNS	LRS	LRS	LRS	LRS	LRS	LRS	GR	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	MR	MR	MR	MR	LRNS	LRNS	LRD	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	LRS	LRS	GR	GR	GR	GR	GR
DMT	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRD	LRNS	LRNS	LRS	LRS	LRS	DMT	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRD	LRD	LRD	LRD	LRD	LRD	LRNS	LRS	LRS	LRS	LRS	LRS	LRNS	GR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRS	LRS	LRS	MR	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRNS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	LRS	LRS	LRD	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	LRS	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	MR	GR	GR	GR	GR	GR
